"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0.2865,-0.6591796875,
0.287,-0.4150390625,
0.2875,-0.1416015625,
0.288,0.21484375,
0.2885,0.693359375,
0.289,1.025390625,
0.2895,0.9912109375,
0.29,0.7763671875,
0.2905,0.68359375,
0.291,0.72265625,
0.2915,0.6689453125,
0.292,0.4541015625,
0.2925,0.1953125,
0.293,-0.0830078125,
0.2935,-0.3466796875,
0.294,-0.400390625,
0.2945,-0.205078125,
0.295,-0.029296875,
0.2955,-0.068359375,
0.296,-0.13671875,
0.2965,-0.0146484375,
0.297,0.1953125,
0.2975,0.263671875,
0.298,0.1416015625,
0.2985,-0.0927734375,
0.299,-0.46875,
0.2995,-0.888671875,
0.3,-1.103515625,
0.3005,-1.083984375,
0.301,-1.108398438,
0.3015,-1.274414062,
0.302,-1.381835938,
0.3025,-1.254882812,
0.303,-0.9716796875,
0.3035,-0.6591796875,
0.304,-0.3125,
0.3045,0.0244140625,
0.305,0.1904296875,
0.3055,0.2197265625,
0.306,0.3369140625,
0.3065,0.5224609375,
0.307,0.546875,
0.3075,0.3515625,
0.308,0.1318359375,
0.3085,0.0146484375,
0.309,-0.01953125,
0.3095,0.029296875,
0.31,0.2197265625,
0.3105,0.439453125,
0.311,0.48828125,
0.3115,0.4541015625,
0.312,0.5859375,
0.3125,0.859375,
0.313,1.049804688,
0.3135,1.049804688,
0.314,0.9228515625,
0.3145,0.6982421875,
0.315,0.3857421875,
0.3155,0.09765625,
0.316,-0.0634765625,
0.3165,-0.2392578125,
0.317,-0.6005859375,
0.3175,-0.95703125,
0.318,-1.040039062,
0.3185,-0.8740234375,
0.319,-0.6494140625,
0.3195,-0.4638671875,
0.32,-0.3271484375,
0.3205,-0.263671875,
0.321,-0.244140625,
0.3215,-0.126953125,
0.322,0.1123046875,
0.3225,0.234375,
0.323,0.0537109375,
0.3235,-0.2294921875,
0.324,-0.3759765625,
0.3245,-0.3759765625,
0.325,-0.3271484375,
0.3255,-0.2392578125,
0.326,-0.1123046875,
0.3265,-0.0048828125,
0.327,0.1318359375,
0.3275,0.44921875,
0.328,0.91796875,
0.3285,1.264648438,
0.329,1.313476562,
0.3295,1.245117188,
0.33,1.19140625,
0.3305,1.137695312,
0.331,1.049804688,
0.3315,0.9375,
0.332,0.751953125,
0.3325,0.4296875,
0.333,0.0634765625,
0.3335,-0.1123046875,
0.334,-0.05859375,
0.3345,0.0048828125,
0.335,-0.01953125,
0.3355,-0.029296875,
0.336,0.009765625,
0.3365,0.0537109375,
0.337,0.1171875,
0.3375,0.2099609375,
0.338,0.205078125,
0.3385,-0.0244140625,
0.339,-0.3759765625,
0.3395,-0.60546875,
0.34,-0.6591796875,
0.3405,-0.7080078125,
0.341,-0.80078125,
0.3415,-0.87890625,
0.342,-0.91796875,
0.3425,-0.888671875,
0.343,-0.6689453125,
0.3435,-0.2490234375,
0.344,0.1708984375,
0.3445,0.380859375,
0.345,0.4541015625,
0.3455,0.576171875,
