x0004,y0004,x0005,y0005,x0018,y0018,x0019,y0019
56.15234375,1.656748853,56.15234375,0.9054034016,56.15234375,2.08838621,57.37304688,1.877694534,
56.39648438,1.638102355,56.39648438,0.8851881163,56.39648438,2.069512928,57.6171875,1.858646859,
56.640625,1.620187238,56.640625,0.8211620589,56.640625,2.052093481,57.86132812,1.84028068,
56.88476562,1.602587014,56.88476562,0.8575474923,56.88476562,2.034896955,58.10546875,1.822540499,
57.12890625,1.58719516,57.12890625,0.8484291572,57.12890625,2.016833839,58.34960938,1.805376877,
57.37304688,1.569139498,57.37304688,0.8336544945,57.37304688,2.004647714,58.59375,1.788745566,
57.6171875,1.556747083,57.6171875,0.9249066235,57.6171875,1.99081808,58.83789062,1.772606795,
57.86132812,1.552458415,57.86132812,0.8779823815,57.86132812,1.98651794,59.08203125,1.756924674,
58.10546875,1.528872748,58.10546875,0.8816311448,58.10546875,1.958455538,59.32617188,1.741666683,
58.34960938,1.5158306,58.34960938,0.8775209986,58.34960938,1.94891464,59.5703125,1.726803258,
58.59375,1.503521485,58.59375,0.8905981188,58.59375,1.937599284,59.81445312,1.712307426,
58.83789062,1.492400757,58.83789062,0.8783146591,58.83789062,1.928834981,60.05859375,1.698154495,
59.08203125,1.478568563,59.08203125,0.9089971832,59.08203125,1.912162055,60.30273438,1.684321796,
59.32617188,1.461779026,59.32617188,1.00193489,59.32617188,1.895917067,60.546875,1.670788451,
59.5703125,1.471106945,59.5703125,1.071464907,59.5703125,1.899036665,60.79101562,1.657535176,
59.81445312,1.451495455,59.81445312,0.9944310815,59.81445312,1.883246425,61.03515625,1.644544112,
60.05859375,1.442727221,60.05859375,0.9676733677,60.05859375,1.878542025,61.27929688,1.631798675,
60.30273438,1.431823182,60.30273438,0.9704640358,60.30273438,1.867770006,61.5234375,1.619283421,
60.546875,1.424094477,60.546875,0.9755831887,60.546875,1.860607614,61.76757812,1.606983936,
60.79101562,1.417099721,60.79101562,0.9634324153,60.79101562,1.858117287,62.01171875,1.594886729,
61.03515625,1.405857832,61.03515625,0.9722659124,61.03515625,1.846567691,62.25585938,1.582979146,
61.27929688,1.398373747,61.27929688,0.9993708803,61.27929688,1.835733066,62.5,1.571249286,
61.5234375,1.390739186,61.5234375,0.9816359998,61.5234375,1.826378701,62.74414062,1.559685931,
61.76757812,1.385453561,61.76757812,0.9614800338,61.76757812,1.820727142,62.98828125,1.548278482,
62.01171875,1.377191026,62.01171875,1.011796444,62.01171875,1.808340613,63.23242188,1.537016899,
62.25585938,1.367575165,62.25585938,1.000573875,62.25585938,1.804921259,63.4765625,1.525891655,
62.5,1.362319792,62.5,0.9678956166,62.5,1.799886286,63.72070312,1.514893679,
62.74414062,1.354901312,62.74414062,0.9968958892,62.74414062,1.782849637,63.96484375,1.504014325,
62.98828125,1.349374521,62.98828125,1.000037093,62.98828125,1.782289068,64.20898438,1.493245324,
63.23242188,1.341626313,63.23242188,0.9825554943,63.23242188,1.774262303,64.453125,1.482578753,
63.4765625,1.335300098,63.4765625,1.008868394,63.4765625,1.766086325,64.69726562,1.472007001,
63.72070312,1.32914144,63.72070312,1.027196332,63.72070312,1.760421541,64.94140625,1.461522741,
63.96484375,1.321117,63.96484375,1.033184485,63.96484375,1.75378918,65.18554688,1.451118901,
64.20898438,1.318898315,64.20898438,1.026049075,64.20898438,1.745874686,65.4296875,1.440788638,
